feature,votes
SEND_SMS,3
READ_PHONE_STATE,3
getpriority,3
ACCESS_WIFI_STATE,3
RECEIVE_SMS,3
setsockopt,3
RECEIVE_BOOT_COMPLETED,3
READ_SMS,3
NrServices,3
GET_TASKS,3
getrlimit,3
NrIntReceiversActions,3
CHANGE_WIFI_STATE,3
fsync,3
SYSTEM_ALERT_WINDOW,3
flock,3
WAKE_LOCK,3
recv,3
SYS_312,3
SYS_339,3
WRITE_EXTERNAL_STORAGE,3
fstatfs64,3
ACCESS_COARSE_LOCATION,3
GET_ACCOUNTS,2
ACCESS_NETWORK_STATE,2
sigaltstack,2
MOUNT_UNMOUNT_FILESYSTEMS,2
ACCESS_FINE_LOCATION,2
SYS_315,2
CHANGE_NETWORK_STATE,1
SYS_311,1
sysinfo,1
